customer_id,acquisition_date,acquisition_channel,product,region,age_group,loan_amount,first_transaction_date,churn_date,is_active,ltv,txn_month_1,txn_month_2,txn_month_3,txn_month_4,txn_month_5,txn_month_6,txn_month_7,txn_month_8,txn_month_9,txn_month_10,txn_month_11,txn_month_12,txn_month_13,txn_month_14,txn_month_15,txn_month_16,txn_month_17,txn_month_18,ltv_segment,days_since_acquisition,total_recent_txns,churn_risk
CUST18714,2025-01-01,Referral,Personal Loan,West,36-45,342600.0,2025-01-03,2025-03-29,False,50902.71,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST33359,2025-01-01,Paid,Personal Loan,West,36-45,1000000.0,2025-01-07,2025-07-22,False,23553.72,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST06457,2025-01-01,Paid,Personal Loan,South,36-45,384300.0,2025-01-08,2025-08-23,False,38391.62,0,2,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST33599,2025-01-01,Paid,Credit Line,International,18-25,500000.0,2025-01-03,2025-04-06,False,3146.35,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST15794,2025-01-01,Referral,Credit Line,South,26-35,274600.0,2025-01-04,2025-08-20,False,9291.27,5,3,4,5,5,7,3,1,0,0,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST47066,2025-01-01,Paid,Personal Loan,International,26-35,885400.0,2025-01-07,2025-05-18,False,30815.99,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST40337,2025-01-01,Paid,Personal Loan,South,36-45,233600.0,2025-01-03,2025-02-03,False,22701.78,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST23136,2025-01-01,Paid,BNPL,East,45+,11300.0,2025-01-04,2025-10-16,False,1041.57,2,3,1,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,Low,545,0,False
CUST07554,2025-01-01,Paid,Credit Line,South,26-35,73000.0,2025-01-05,2025-08-10,False,3777.5,2,3,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST27797,2025-01-01,App Store,Personal Loan,West,36-45,350600.0,2025-01-04,2025-08-24,False,21306.43,4,1,4,3,6,1,4,3,0,0,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST27179,2025-01-01,Organic,Credit Line,North,36-45,179500.0,2025-01-08,2025-09-29,False,25979.39,6,4,10,4,2,6,4,3,7,10,0,0,0,0,0,0,0,0,High,545,0,False
CUST15732,2025-01-01,Referral,Personal Loan,West,26-35,606300.0,2025-01-06,,True,66447.16,4,1,5,4,4,5,4,3,7,4,1,4,4,5,4,1,1,0,High,545,2,False
CUST40295,2025-01-01,Organic,BNPL,North,26-35,38800.0,2025-01-06,2025-05-13,False,2851.98,3,6,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST46002,2025-01-01,Paid,Personal Loan,North,18-25,865900.0,2025-01-03,2025-02-09,False,17755.84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST20462,2025-01-01,Organic,Personal Loan,South,26-35,415100.0,2025-01-06,,True,116605.03,6,7,8,6,3,6,5,2,3,4,8,5,7,2,8,4,2,5,High,545,11,False
CUST07521,2025-01-01,Paid,Personal Loan,North,36-45,470400.0,2025-01-05,,True,12245.95,1,1,1,1,1,3,0,3,1,2,1,1,1,1,1,0,0,0,Medium,545,0,True
CUST23183,2025-01-01,Organic,BNPL,West,45+,12300.0,2025-01-05,2025-03-09,False,2838.76,3,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST32962,2025-01-01,Referral,Personal Loan,East,45+,594700.0,2025-01-07,2025-04-29,False,47884.81,10,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST29078,2025-01-01,Paid,Personal Loan,South,26-35,745900.0,2025-01-05,2025-08-31,False,31600.74,2,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST49859,2025-01-01,Paid,Personal Loan,North,26-35,1000000.0,2025-01-07,2025-03-23,False,6142.51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST30632,2025-01-01,Paid,Credit Line,South,26-35,500000.0,2025-01-05,2025-02-21,False,5846.36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST23820,2025-01-01,Referral,BNPL,North,36-45,31500.0,2025-01-04,2025-09-18,False,3677.61,3,4,4,5,6,6,2,3,6,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST12500,2025-01-01,Referral,BNPL,North,45+,28500.0,2025-01-04,2025-06-03,False,7289.36,2,8,5,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST36370,2025-01-01,Organic,Credit Line,East,36-45,500000.0,2025-01-05,2025-10-07,False,28787.42,5,7,4,7,7,7,9,5,5,1,0,0,0,0,0,0,0,0,High,545,0,False
CUST13944,2025-01-01,Organic,Personal Loan,East,26-35,536000.0,2025-01-02,,True,27007.94,7,4,7,9,8,5,4,2,4,2,6,7,2,3,5,4,4,1,High,545,9,False
CUST03954,2025-01-01,Organic,Credit Line,South,18-25,379800.0,2025-01-02,,True,39539.12,5,12,7,11,7,7,4,12,4,8,4,3,3,5,2,6,2,4,High,545,12,False
CUST46724,2025-01-01,Paid,BNPL,North,18-25,30800.0,2025-01-05,2025-06-14,False,3112.58,1,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST39474,2025-01-01,Paid,Personal Loan,South,26-35,668500.0,2025-01-07,2025-09-04,False,7564.69,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST17059,2025-01-01,Referral,Credit Line,West,18-25,347200.0,2025-01-08,,True,34225.34,4,4,8,5,3,3,3,6,1,3,4,3,2,1,3,4,2,1,High,545,7,False
CUST49591,2025-01-01,Paid,Personal Loan,North,26-35,614900.0,2025-01-05,2025-09-20,False,20134.1,4,3,1,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST07895,2025-01-01,Paid,Credit Line,East,18-25,188700.0,2025-01-02,2025-10-28,False,4950.14,2,1,1,1,3,0,0,2,2,2,2,0,0,0,0,0,0,0,Low,545,0,False
CUST12635,2025-01-01,Referral,Credit Line,South,26-35,276400.0,2025-01-02,,True,23027.87,6,3,4,4,7,4,3,6,5,2,5,2,7,5,1,4,4,2,Medium,545,10,False
CUST44634,2025-01-01,Paid,Personal Loan,North,18-25,365100.0,2025-01-07,2025-02-01,False,24877.15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST29738,2025-01-01,Paid,Personal Loan,International,26-35,856500.0,2025-01-04,2025-04-29,False,35130.31,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST22606,2025-01-01,App Store,BNPL,South,18-25,20200.0,2025-01-07,2025-12-19,False,4354.8,5,4,4,6,2,2,1,2,2,5,2,3,0,0,0,0,0,0,Low,545,0,False
CUST05732,2025-01-01,Paid,Credit Line,South,18-25,102400.0,2025-01-04,2025-02-23,False,2561.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST45334,2025-01-01,App Store,Personal Loan,West,18-25,563900.0,2025-01-03,2025-09-28,False,12733.29,2,6,3,3,7,3,1,1,1,2,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST17513,2025-01-01,Organic,BNPL,East,36-45,31600.0,2025-01-02,,True,2356.62,6,7,4,4,6,11,2,2,7,6,7,6,5,2,4,2,2,5,Low,545,9,False
CUST21663,2025-01-01,Organic,BNPL,West,18-25,19600.0,2025-01-04,2025-09-08,False,3240.08,4,3,5,2,2,3,4,3,6,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST00558,2025-01-01,Organic,Personal Loan,East,18-25,902200.0,2025-01-08,,True,48664.48,5,4,6,4,1,11,4,5,3,7,7,5,2,3,9,2,2,2,High,545,6,False
CUST06595,2025-01-01,Referral,Personal Loan,International,18-25,511500.0,2025-01-03,2025-03-23,False,105224.27,8,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST30050,2025-01-01,App Store,BNPL,North,45+,17300.0,2025-01-06,2025-03-05,False,3159.53,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST21544,2025-01-01,Organic,Personal Loan,South,45+,835500.0,2025-01-05,2025-06-26,False,18637.07,13,5,8,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST34845,2025-01-01,Paid,Personal Loan,West,36-45,361700.0,2025-01-08,2025-03-02,False,19807.66,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST14086,2025-01-01,Paid,BNPL,North,26-35,35100.0,2025-01-08,2025-04-17,False,2858.59,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST49051,2025-01-01,Paid,BNPL,South,36-45,13700.0,2025-01-06,2025-07-07,False,2760.75,0,1,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST02024,2025-01-01,Organic,Credit Line,South,36-45,500000.0,2025-01-05,2025-06-18,False,31562.74,8,15,6,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST35609,2025-01-01,Paid,BNPL,North,26-35,50000.0,2025-01-02,2025-12-12,False,2981.18,1,2,2,1,1,0,2,3,0,0,1,1,0,0,0,0,0,0,Low,545,0,False
CUST00521,2025-01-01,Paid,Personal Loan,East,26-35,1000000.0,2025-01-05,2025-06-23,False,7531.65,1,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST13819,2025-01-01,Referral,Credit Line,West,36-45,333800.0,2025-01-04,,True,18053.31,3,8,2,6,4,5,3,5,1,2,3,3,1,5,3,1,6,1,Medium,545,8,False
CUST35500,2025-01-01,Paid,Credit Line,North,26-35,285300.0,2025-01-07,2025-02-26,False,2138.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,545,0,False
CUST43460,2025-01-01,Paid,Personal Loan,West,26-35,351800.0,2025-01-05,,True,23128.05,1,1,2,0,1,2,3,2,0,0,0,0,1,1,0,0,1,1,Medium,545,2,False
CUST27648,2025-01-01,Organic,BNPL,North,36-45,47700.0,2025-01-02,,True,3416.63,9,6,5,6,4,4,6,2,7,7,2,6,2,4,2,6,5,4,Low,545,15,False
CUST00180,2025-01-01,Organic,Credit Line,East,26-35,500000.0,2025-01-08,2025-05-22,False,12297.72,8,4,4,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST28720,2025-01-01,Organic,Credit Line,South,18-25,265200.0,2025-01-02,2025-04-04,False,21179.86,9,7,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST15390,2025-01-01,App Store,Personal Loan,South,36-45,770600.0,2025-01-03,2025-09-09,False,35123.49,1,4,3,1,3,3,3,3,1,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST20723,2025-01-01,App Store,Personal Loan,North,18-25,642900.0,2025-01-07,2025-06-23,False,34914.28,1,3,6,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,High,545,0,False
CUST38320,2025-01-01,Paid,Personal Loan,South,26-35,778300.0,2025-01-08,2025-11-02,False,29100.98,1,2,3,2,1,3,1,0,1,3,2,0,0,0,0,0,0,0,High,545,0,False
CUST33998,2025-01-01,Paid,Credit Line,West,36-45,185700.0,2025-01-07,2025-07-02,False,9031.83,2,2,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,Medium,545,0,False
CUST42936,2025-01-01,Paid,Personal Loan,West,36-45,1000000.0,2025-01-03,2025-11-29,False,37056.66,2,2,0,2,3,2,1,2,0,0,0,1,0,0,0,0,0,0,High,545,0,False
